Squad,No_Pl,MP,Starts,Min,Nineties,GA,GA90,SoTA,Saves,Save_pct,W,D,L,CS,CS_pct,PKatt,PKA,PKsv,PKm
Chicago,3,34,34,3060,34,58,1.71,179,121,0.676,8,6,20,5,14.7,,,,
Colorado,2,34,34,3060,34,43,1.26,136,93,0.684,9,10,15,9,26.5,,,,
Columbus,1,34,34,3060,34,53,1.56,168,115,0.685,15,8,11,6,17.6,,,,
D.C. United,3,34,34,3060,34,45,1.32,191,146,0.764,15,6,13,8,23.5,,,,
FC Dallas,3,34,34,3060,34,39,1.15,122,83,0.68,18,6,10,13,38.2,,,,
Houston,2,34,34,3060,34,49,1.44,149,100,0.671,11,9,14,7,20.6,,,,
LA Galaxy,3,34,34,3060,34,46,1.35,147,101,0.687,14,9,11,8,23.5,,,,
Montreal,2,34,34,3060,34,44,1.29,153,109,0.712,15,6,13,9,26.5,,,,
New England,2,34,34,3060,34,47,1.38,140,93,0.664,14,8,12,9,26.5,,,,
NY Red Bulls,1,34,34,3060,34,43,1.26,131,88,0.672,18,6,10,9,26.5,,,,
NYCFC,2,34,34,3060,34,58,1.71,194,136,0.701,10,7,17,4,11.8,,,,
Orlando City,3,34,34,3060,34,56,1.65,156,100,0.641,12,8,14,7,20.6,,,,
Philadelphia,4,34,34,3060,34,55,1.62,145,90,0.621,10,7,17,10,29.4,,,,
Portland,2,34,34,3060,34,39,1.15,127,88,0.693,15,8,11,13,38.2,,,,
Real Salt Lake,2,34,34,3060,34,48,1.41,157,109,0.694,11,8,15,9,26.5,,,,
San Jose,1,34,34,3060,34,39,1.15,147,108,0.735,13,8,13,12,35.3,,,,
Seattle,2,34,34,3060,34,36,1.06,159,123,0.774,15,6,13,11,32.4,,,,
Sporting KC,3,34,34,3060,34,45,1.32,154,109,0.708,14,9,11,11,32.4,,,,
Toronto FC,2,34,34,3060,34,58,1.71,164,106,0.646,15,4,15,5,14.7,,,,
Vancouver,1,34,34,3060,34,36,1.06,137,101,0.737,16,5,13,13,38.2,,,,