Rk,Player,Nation,Pos,Squad,Age,Born,MP_playingtime,Starts_playingtime,Min_playingtime,Gls_performance,Ast_performance,PK_performance,PKatt_performance,CrdY_performance,CrdR_performance,Gls_per90min,Ast_per90min,G_plus_A_per90min,G_minus_PK_per90min,G_plus_A_minus_PK_per90min
1,Saad Abdul-Salaam\Saad-Abdul-Salaam,us USA,DF,Sporting KC,25,1991,12,10,902,1,1,0,0,1,0,0.1,0.1,0.2,0.1,0.2
2,Mohammed Abu\Mohammed-Abu,gh GHA,MF,Columbus,25,1991,20,14,1279,0,0,0,0,3,0,0,0,0,0,0
3,Lalas Abubakar\Lalas-Abubakar,gh GHA,DF,Columbus,22,1994,7,6,529,1,0,0,0,2,1,0.17,0,0.17,0.17,0.17
4,David Accam\David-Accam,gh GHA,MFFW,Chicago,26,1990,30,24,2194,14,6,2,2,2,0,0.57,0.25,0.82,0.49,0.74
5,Danilo Acosta\Danilo-Acosta,us USA,DF,Real Salt Lake,19,1997,17,16,1408,0,1,0,0,2,1,0,0.06,0.06,0,0.06
6,Kellyn Acosta\Kellyn-Acosta,us USA,MF,FC Dallas,21,1995,23,20,1893,3,2,0,0,2,0,0.14,0.1,0.24,0.14,0.24
7,Luciano Acosta\Luciano-Acosta,ar ARG,MF,D.C. United,22,1994,31,30,2411,5,4,1,1,4,2,0.19,0.15,0.34,0.15,0.3
8,Tyler Adams\Tyler-Adams,us USA,MF,NY Red Bulls,17,1999,24,22,1993,2,3,0,0,2,0,0.09,0.14,0.23,0.09,0.23
9,Seyi Adekoya\Seyi-Adekoya,us USA,FW,Seattle,21,1995,2,1,77,0,0,0,0,1,0,0,0,0,0,0
10,Fanendo Adi\Fanendo-Adi,ng NGA,FW,Portland,26,1990,22,22,1882,10,2,3,3,2,1,0.48,0.1,0.57,0.33,0.43
11,Bismark Adjei-Boateng\Bismark-Adjei-Boateng,gh GHA,MF,Colorado,22,1994,18,10,807,0,0,0,0,3,0,0,0,0,0,0
12,François Affolter\Francois-Affolter,ch SUI,DF,San Jose,25,1991,6,6,508,0,0,0,0,1,0,0,0,0,0,0
13,Harrison Afful\Harrison-Afful,gh GHA,DFMF,Columbus,30,1986,24,21,1779,0,0,0,0,3,1,0,0,0,0,0
14,Juan Agudelo\Juan-Agudelo,us USA,FWMF,New England,24,1992,28,20,1817,8,1,0,0,3,0,0.4,0.05,0.45,0.4,0.45
15,Stefan Aigner\Stefan-Aigner,de GER,MF,Colorado,29,1987,9,5,489,2,1,0,0,2,0,0.37,0.18,0.55,0.37,0.55
16,José Aja\Jose-Aja,uy URU,DF,Orlando City,23,1993,15,15,1273,0,0,0,0,5,2,0,0,0,0,0
17,Tesho Akindele\Tesho-Akindele,ca CAN,MFFW,FC Dallas,24,1992,29,15,1516,4,0,0,0,3,1,0.24,0,0.24,0.24,0.24
18,Fatai Alashe\Fatai-Alashe,us USA,MFDF,San Jose,23,1993,17,13,1200,0,0,0,0,6,0,0,0,0,0,0
19,Roland Alberg\Roland-Alberg,nl NED,MF,Philadelphia,26,1990,24,9,877,7,0,2,3,3,0,0.72,0,0.72,0.51,0.51
20,Romain Alessandrini\Romain-Alessandrini,fr FRA,MF,LA Galaxy,27,1989,30,27,2456,13,11,2,2,8,0,0.48,0.4,0.88,0.4,0.81
21,Alex\Alex,br BRA,MF,Houston,28,1988,32,28,2300,2,7,0,0,5,2,0.08,0.27,0.35,0.08,0.35
22,Eric Alexander\Eric-Alexander,us USA,MF,Houston,28,1988,12,11,882,0,1,0,0,0,0,0,0.1,0.1,0,0.1
23,Tony Alfaro\Tony-Alfaro,us USA,DF,Seattle,23,1993,15,8,820,0,0,0,0,4,0,0,0,0,0,0
24,Brandon Allen\Brandon-Allen,us USA,FW,Minnesota,23,1993,1,0,10,0,0,0,0,0,0,0,0,0,0,0
25,Jordan Allen\Jordan-Allen,us USA,MFFW,Real Salt Lake,21,1995,2,2,111,0,0,0,0,0,0,0,0,0,0,0
26,Miguel Almirón\Miguel-Almiron,py PAR,MF,Atlanta,22,1994,30,27,2390,9,8,1,1,4,0,0.34,0.3,0.64,0.3,0.6
27,Osvaldo Alonso\Osvaldo-Alonso,cu CUB,MF,Seattle,31,1985,26,24,2073,1,0,0,0,4,0,0.04,0,0.04,0.04,0.04
28,Øyvind Alseth\Oyvind-Alseth,no NOR,DFMF,Toronto FC,22,1994,4,4,267,0,0,0,0,1,0,0,0,0,0,0
29,Jozy Altidore\Jozy-Altidore,us USA,FW,Toronto FC,27,1989,27,25,2184,15,6,3,5,8,0,0.62,0.25,0.87,0.49,0.74
30,Arturo Alvarez\Arturo-Alvarez,sv SLV,MFFW,Chicago,31,1985,26,13,1087,3,2,0,0,2,0,0.25,0.17,0.41,0.25,0.41
31,John Alvbåge\John-Alvbage,se SWE,GK,Minnesota,34,1982,3,2,221,0,0,0,0,0,0,0,0,0,0,0
32,Quincy Amarikwa\Quincy-Amarikwa,us USA,FW,San Jose,29,1987,9,1,156,0,0,0,0,0,0,0,0,0,0,0
33,Mikey Ambrose\Mikey-Ambrose,us USA,DF,Atlanta,23,1993,7,2,265,0,0,0,0,1,0,0,0,0,0,0
34,Michael Amir Murillo\Michael-Amir-Murillo,pa PAN,DF,NY Red Bulls,20,1996,17,15,1317,2,0,0,0,3,0,0.14,0,0.14,0.14,0.14
35,Vytas Andriuškevičius\Vytas-Andriuskevicius,lt LTU,DF,Portland,26,1990,23,19,1780,0,4,0,0,5,0,0,0.2,0.2,0,0.2
36,Benjamin Angoua\Benjamin-Angoua,ci CIV,DF,New England,30,1986,26,26,2310,1,0,0,0,7,0,0.04,0,0.04,0.04,0.04
37,Pele van Anholt\Pele-van-Anholt,nl NED,DF,LA Galaxy,25,1991,5,5,354,0,0,0,0,0,0,0,0,0,0,0
38,Jalil Anibaba\Jalil-Anibaba,us USA,DF,Houston,28,1988,8,4,465,0,0,0,0,0,0,0,0,0,0,0
39,Victor Arboleda\Victor-Arboleda,co COL,FWMF,Portland,20,1997,5,0,57,0,0,0,0,0,1,0,0,0,0,0
40,Hugo Arellano\Hugo-Arellano,us USA,DF,LA Galaxy,18,1998,4,4,333,0,0,0,0,1,0,0,0,0,0,0
41,Adrián Arregui\Adrian-Arregui,ar ARG,MF,Montreal,24,1992,6,3,239,0,1,0,0,1,0,0,0.38,0.38,0,0.38
42,Paul Arriola\Paul-Arriola,us USA,MF,D.C. United,21,1995,11,11,918,1,2,0,0,2,0,0.1,0.2,0.29,0.1,0.29
43,David Arshakyan\David-Arshakyan,am ARM,FW,Chicago,22,1994,7,0,29,0,0,0,0,1,0,0,0,0,0,0
44,Artur\Artur,br BRA,MF,Columbus,20,1996,24,19,1701,0,3,0,0,1,0,0,0.16,0.16,0,0.16
45,Yamil Asad\Yamil-Asad,ar ARG,MF,Atlanta,22,1994,32,31,2758,7,11,1,1,7,1,0.23,0.36,0.59,0.2,0.55
46,Dairon Asprilla\Dairon-Asprilla,co COL,MF,Portland,24,1992,27,17,1393,2,4,0,0,1,0,0.13,0.26,0.39,0.13,0.39
47,Jeff Attinella\Jeff-Attinella,us USA,GK,Portland,28,1988,14,13,1243,0,0,0,0,0,0,0,0,0,0,0
48,Kwame Awuah\Kwame-Awuah,ca CAN,DFMF,NYCFC,21,1995,4,0,28,0,0,0,0,0,0,0,0,0,0,0
49,Micheal Azira\Micheal-Azira,ug UGA,MF,Colorado,29,1987,30,28,2567,0,1,0,0,8,0,0,0.04,0.04,0,0.04
50,Dominique Badji\Dominique-Badji,sn SEN,FWMF,Colorado,24,1992,33,29,2533,9,4,0,1,5,0,0.32,0.14,0.46,0.32,0.46
51,Jack Barmby\Jack-Barmby,eng ENG,FWMF,Portland,22,1994,10,0,108,1,0,0,0,3,0,0.83,0,0.83,0.83,0.83
52,Giles Barnes\Giles-Barnes,jm JAM,MFFW,Orlando City,28,1988,34,23,2140,3,1,0,0,0,0,0.13,0.04,0.17,0.13,0.17
53,Chad Barrett\Chad-Barrett,us USA,FW,Real Salt Lake,31,1985,3,0,68,0,0,0,0,0,0,0,0,0,0,0
54,Michael Barrios\Michael-Barrios,co COL,MFFW,FC Dallas,25,1991,34,28,2562,3,12,0,0,5,0,0.11,0.42,0.53,0.11,0.53
55,Hadji Barry\Hadji-Barry,gn GUI,FWMF,Orlando City,24,1992,3,0,13,0,0,0,0,0,0,0,0,0,0,0
56,Jorge Bava\Jorge-Bava,uy URU,GK,Chicago,34,1982,8,8,720,0,0,0,0,1,0,0,0,0,0,0
57,DaMarcus Beasley\DaMarcus-Beasley,us USA,DF,Houston,34,1982,24,22,1986,0,0,0,0,0,0,0,0,0,0,0
58,Kyle Beckerman\Kyle-Beckerman,us USA,MF,Real Salt Lake,34,1982,26,26,2240,4,0,0,0,9,3,0.16,0,0.16,0.16,0.16
59,Alejandro Bedoya\Alejandro-Bedoya,us USA,MF,Philadelphia,29,1987,28,28,2508,2,3,0,1,6,0,0.07,0.11,0.18,0.07,0.18
60,Steven Beitashour\Steven-Beitashour,ir IRN,MFDF,Toronto FC,29,1987,22,17,1592,0,4,0,0,1,0,0,0.23,0.23,0,0.23
61,Louis Béland-Goyette\Louis-Beland-Goyette,ca CAN,MF,Montreal,21,1995,6,4,293,0,1,0,0,2,0,0,0.31,0.31,0,0.31
62,Kharlton Belmar\Kharlton-Belmar,us USA,FWMF,Sporting KC,24,1992,1,0,7,0,0,0,0,0,0,0,0,0,0,0
63,Tony Beltran\Tony-Beltran,us USA,DF,Real Salt Lake,29,1987,21,21,1818,1,1,0,0,3,0,0.05,0.05,0.1,0.05,0.1
64,Joe Bendik\Joe-Bendik,us USA,GK,Orlando City,27,1989,33,33,2970,0,0,0,0,1,0,0,0,0,0,0
65,Hernán Bernardello\Hernan-Bernardello,ar ARG,MF,Montreal,30,1986,22,17,1496,0,2,0,0,5,0,0,0.12,0.12,0,0.12
66,Víctor Bernárdez\Victor-Bernardez,hn HON,DF,San Jose,34,1982,25,25,2228,0,1,0,0,2,2,0,0.04,0.04,0,0.04
67,Patrice Bernier\Patrice-Bernier,ca CAN,MF,Montreal,37,1979,27,20,1795,2,3,1,1,1,0,0.1,0.15,0.25,0.05,0.2
68,Matt Besler\Matt-Besler,us USA,DF,Sporting KC,29,1987,26,26,2339,0,4,0,0,2,0,0,0.15,0.15,0,0.15
69,Vincent Bezecourt\Vincent-Bezecourt,fr FRA,MF,NY Red Bulls,23,1993,3,2,191,0,0,0,0,0,0,0,0,0,0,0
70,Justin Bilyeu\Justin-Bilyeu,us USA,DF,NY Red Bulls,22,1994,1,1,90,0,0,0,0,0,0,0,0,0,0,0
71,David Bingham\David-Bingham,us USA,GK,San Jose,27,1989,23,23,2070,0,1,0,0,3,0,0,0.04,0.04,0,0.04
72,Steve Birnbaum\Steve-Birnbaum,us USA,DF,D.C. United,26,1991,26,25,2248,0,0,0,0,2,0,0,0,0,0,0
73,Andre Blake\Andre-Blake,jm JAM,GK,Philadelphia,26,1990,26,26,2340,0,0,0,0,2,0,0,0,0,0,0
74,Sebastián Blanco\Sebastian-Blanco,ar ARG,MF,Portland,28,1988,33,32,2776,8,4,0,0,6,1,0.26,0.13,0.39,0.26,0.39
75,Latif Blessing\Latif-Blessing,gh GHA,FW,Sporting KC,20,1996,25,16,1420,3,1,0,0,3,0,0.19,0.06,0.25,0.19,0.25
76,Mark Bloom\Mark-Bloom,us USA,DF,Atlanta,29,1987,2,2,162,0,0,0,0,0,0,0,0,0,0,0
77,Emmanuel Boateng\Emmanuel-Boateng,gh GHA,MF,LA Galaxy,23,1994,34,29,2301,4,2,0,0,0,0,0.16,0.08,0.23,0.16,0.23
78,Christian Bolaños\Christian-Bolanos,cr CRC,MF,Vancouver,32,1984,21,18,1622,0,5,0,0,0,1,0,0.28,0.28,0,0.28
79,Deian Boldor\Deian-Boldor,ro ROU,DF,Montreal,21,1995,5,5,412,0,0,0,0,0,1,0,0,0,0,0
80,Alex Bono\Alex-Bono,us USA,GK,Toronto FC,22,1994,29,28,2571,0,1,0,0,2,0,0,0.04,0.04,0,0.04
81,Bobby Boswell\Bobby-Boswell,us USA,DF,D.C. United,33,1983,10,10,884,1,0,0,0,0,0,0.1,0,0.1,0.1,0.1
82,Bobby Boswell\Bobby-Boswell,us USA,DF,Atlanta,33,1983,1,0,8,0,0,0,0,0,0,0,0,0,0,0
83,Michael Boxall\Michael-Boxall,nz NZL,DF,Minnesota,28,1988,12,12,1080,0,0,0,0,2,0,0,0,0,0,0
84,Michael Bradley\Michael-Bradley,us USA,MF,Toronto FC,29,1987,30,30,2700,0,2,0,0,7,0,0,0.07,0.07,0,0.07
85,Frédéric Brillant\Frederic-Brillant,fr FRA,DF,NYCFC,31,1985,23,16,1529,1,1,0,0,3,0,0.06,0.06,0.12,0.06,0.12
86,Brandt Bronico\Brandt-Bronico,us USA,MF,Chicago,21,1995,4,0,57,0,0,0,0,0,0,0,0,0,0,0
87,Deshorn Brown\Deshorn-Brown,jm JAM,FW,D.C. United,26,1990,16,10,785,2,1,0,0,1,0,0.23,0.11,0.34,0.23,0.34
88,Will Bruin\Will-Bruin,us USA,FW,Seattle,27,1989,31,20,1824,11,2,0,0,1,0,0.54,0.1,0.64,0.54,0.64
89,Teal Bunbury\Teal-Bunbury,us USA,MFFW,New England,26,1990,28,13,1287,7,1,0,0,1,0,0.49,0.07,0.56,0.49,0.56
90,Marc Burch\Marc-Burch,us USA,DF,Colorado,32,1984,3,3,270,0,1,0,0,0,0,0,0.33,0.33,0,0.33
91,Marc Burch\Marc-Burch,us USA,DF,Minnesota,32,1984,15,14,1230,0,0,0,0,1,0,0,0,0,0,0
92,Bobby Burling\Bobby-Burling,us USA,DF,Colorado,32,1984,12,8,764,0,0,0,0,3,0,0,0,0,0,0
93,Julian Büscher\Julian-Buscher,de GER,MF,D.C. United,23,1993,7,2,183,0,0,0,0,0,0,0,0,0,0,0
94,Evan Bush\Evan-Bush,us USA,GK,Montreal,30,1986,31,31,2790,0,0,0,0,2,0,0,0,0,0,0
95,Víctor Cabrera\Victor-Cabrera,ar ARG,DF,Montreal,23,1993,20,18,1496,0,0,0,0,6,1,0,0,0,0,0
96,Scott Caldwell\Scott-Caldwell,us USA,MF,New England,25,1991,33,26,2191,1,2,0,0,2,0,0.04,0.08,0.12,0.04,0.12
97,Alexander Callens\Alexander-Callens,pe PER,DF,NYCFC,24,1992,34,34,3060,2,0,0,0,4,0,0.06,0,0.06,0.06,0.06
98,Caleb Calvert\Caleb-Calvert,us USA,FW,Colorado,20,1996,12,3,405,1,0,0,0,2,2,0.22,0,0.22,0.22,0.22
99,Francisco Calvo\Francisco-Calvo,cr CRC,DF,Minnesota,24,1992,27,27,2430,2,1,0,0,5,0,0.07,0.04,0.11,0.07,0.11
100,Hassoun Camara\Hassoun-Camara,sn SEN,DFMF,Montreal,32,1984,18,16,1347,0,0,0,0,4,2,0,0,0,0,0
101,Miguel Camargo\Miguel-Camargo,pa PAN,FW,NYCFC,23,1993,8,2,180,1,0,0,0,1,0,0.5,0,0.5,0.5,0.5
102,Jonathan Campbell\Jonathan-Campbell,us USA,DF,Chicago,23,1993,24,8,1021,0,0,0,0,2,0,0,0,0,0,0
103,Reggie Cannon\Reggie-Cannon,us USA,DF,FC Dallas,18,1998,1,0,1,0,0,0,0,0,0,0,0,0,0,0
104,Russell Canouse\Russell-Canouse,us USA,MF,D.C. United,21,1995,10,10,867,0,1,0,0,3,0,0,0.1,0.1,0,0.1
105,Andrew Carleton\Andrew-Carleton,us USA,MF,Atlanta,16,2000,1,0,5,0,0,0,0,0,0,0,0,0,0,0
106,Carlos Carmona\Carlos-Carmona,cl CHI,MF,Atlanta,29,1987,31,30,2683,2,1,0,0,8,1,0.07,0.03,0.1,0.07,0.1
107,Servando Carrasco\Servando-Carrasco,us USA,MF,Orlando City,28,1988,15,9,831,1,0,0,0,2,2,0.11,0,0.11,0.11,0.11
108,Brian Carroll\Brian-Carroll,us USA,MF,Philadelphia,35,1981,1,0,45,0,0,0,0,0,0,0,0,0,0,0
109,Dennis Castillo\Dennis-Castillo,cr CRC,DF,Colorado,23,1993,3,3,243,0,0,0,0,1,0,0,0,0,0,0
110,Cordell Cato\Cordell-Cato,tt TRI,DFMF,San Jose,24,1992,15,13,1135,0,0,0,0,0,0,0,0,0,0,0
111,Darwin Cerén\Darwin-Ceren,sv SLV,MF,San Jose,27,1989,21,19,1643,0,1,0,0,2,3,0,0.05,0.05,0,0.05
112,Carlos Cermeño\Carlos-Cermeno,ve VEN,MF,FC Dallas,21,1995,8,3,318,0,0,0,0,2,0,0,0,0,0,0
113,Maxime Chanot\Maxime-Chanot,lu LUX,DF,NYCFC,27,1989,19,19,1710,2,0,0,0,3,0,0.11,0,0.11,0.11,0.11
114,Jay Chapman\Jay-Chapman,ca CAN,MFFW,Toronto FC,23,1994,12,3,391,1,0,0,0,0,0,0.23,0,0.23,0.23,0.23
115,Diego Chará\Diego-Chara,co COL,MF,Portland,30,1986,29,29,2529,1,1,0,0,8,1,0.04,0.04,0.07,0.04,0.07
116,Benoît Cheyrou\Benoit-Cheyrou,fr FRA,MF,Toronto FC,35,1981,13,7,619,1,0,0,0,1,0,0.15,0,0.15,0.15,0.15
117,David Choinière\David-Choiniere,ca CAN,FW,Montreal,19,1997,3,0,37,0,0,0,0,0,0,0,0,0,0,0
118,Michaël Ciani\Michael-Ciani,fr FRA,DF,LA Galaxy,32,1984,6,6,540,1,0,0,0,3,0,0.17,0,0.17,0.17,0.17
119,Laurent Ciman\Laurent-Ciman,be BEL,DF,Montreal,31,1985,30,30,2700,0,1,0,0,6,0,0,0.03,0.03,0,0.03
120,Ricardo Clark\Ricardo-Clark,us USA,MF,Houston,33,1983,28,26,2245,0,0,0,0,6,0,0,0,0,0,0
121,Steve Clark\Steve-Clark,us USA,GK,D.C. United,30,1986,5,5,450,0,0,0,0,1,0,0,0,0,0,0
122,Ashley Cole\Ashley-Cole,eng ENG,DF,LA Galaxy,36,1980,29,29,2498,1,2,0,0,0,1,0.04,0.07,0.11,0.04,0.11
123,Aurélien Collin\Aurelien-Collin,fr FRA,DF,NY Red Bulls,30,1986,9,7,545,0,0,0,0,2,0,0,0,0,0,0
124,Cristian Colmán\Cristian-Colman,py PAR,FW,FC Dallas,22,1994,26,10,966,2,1,0,0,1,0,0.19,0.09,0.28,0.19,0.28
125,Drew Conner\Drew-Conner,us USA,MFDF,Chicago,22,1994,21,8,890,0,0,0,0,0,0,0,0,0,0,0
126,Armando Cooper\Armando-Cooper,pa PAN,MFFW,Toronto FC,29,1987,19,10,908,0,1,0,0,2,0,0,0.1,0.1,0,0.1
127,Coy Craft\Coy-Craft,us USA,FWMF,FC Dallas,19,1997,1,0,12,0,0,0,0,0,0,0,0,0,0,0
128,Warren Creavalle\Warren-Creavalle,us USA,MF,Philadelphia,26,1990,13,5,549,0,0,0,0,2,0,0,0,0,0,0
129,Maxime Crépeau\Maxime-Crepeau,ca CAN,GK,Montreal,22,1994,3,3,270,0,0,0,0,1,0,0,0,0,0,0
130,Alex Crognale\Alex-Crognale,us USA,DF,Columbus,22,1994,17,12,1071,0,1,0,0,1,0,0,0.08,0.08,0,0.08
131,Sam Cronin\Sam-Cronin,us USA,MF,Colorado,30,1986,3,3,261,0,0,0,0,2,0,0,0,0,0,0
132,Sam Cronin\Sam-Cronin,us USA,MF,Minnesota,30,1986,18,18,1549,0,1,0,0,3,0,0,0.06,0.06,0,0.06
133,Cody Cropper\Cody-Cropper,us USA,GK,New England,23,1993,28,28,2520,0,0,0,0,0,0,0,0,0,0,0
134,Abu Danladi\Abu-Danladi,gh GHA,FWMF,Minnesota,21,1995,27,15,1393,8,2,0,0,4,1,0.52,0.13,0.65,0.52,0.65
135,Juan David Cabezas\Juan-David-Cabezas,co COL,MF,Houston,25,1991,27,26,2229,1,0,0,0,7,0,0.04,0,0.04,0.04,0.04
136,Alphonso Davies\Alphonso-Davies,ca CAN,MF,Vancouver,16,2000,26,9,1065,0,1,0,0,1,0,0,0.08,0.08,0,0.08
137,Charlie Davies\Charlie-Davies,us USA,FW,Philadelphia,30,1986,3,0,26,0,0,0,0,0,0,0,0,0,0,0
138,Justin Davis\Justin-Davis,us USA,DF,Minnesota,28,1988,8,5,495,0,0,0,0,0,1,0,0,0,0,0
139,Sean Davis\Sean-Davis,us USA,MFFW,NY Red Bulls,23,1993,27,21,1788,2,2,0,0,5,0,0.1,0.1,0.2,0.1,0.2
140,Simon Dawkins\Simon-Dawkins,jm JAM,MF,San Jose,29,1987,14,7,639,0,0,0,0,0,0,0,0,0,0,0
141,Christian Dean\Christian-Dean,us USA,DF,Vancouver,23,1993,3,3,238,0,0,0,0,1,0,0,0,0,0,0
142,Christian Dean\Christian-Dean,us USA,DF,Chicago,23,1993,3,2,221,0,0,0,0,0,0,0,0,0,0,0
143,A.J. DeLaGarza\AJ-DeLaGarza,gu GUM,DF,Houston,29,1987,30,30,2622,0,3,0,0,8,0,0,0.1,0.1,0,0.1
144,Antonio Delamea Mlinar\Antonio-Delamea-Mlinar,si SVN,DF,New England,25,1991,29,29,2546,1,2,0,0,6,1,0.04,0.07,0.11,0.04,0.11
145,Jordy Delem\Jordy-Delem,mq MTQ,DFMF,Seattle,23,1993,14,9,755,0,0,0,0,3,0,0,0,0,0,0
146,Nick DeLeon\Nick-DeLeon,us USA,DFMF,D.C. United,26,1990,19,18,1591,0,0,0,0,3,0,0,0,0,0,0
147,Marky Delgado\Marky-Delgado,us USA,MF,Toronto FC,21,1995,26,25,2063,3,2,0,0,1,1,0.13,0.09,0.22,0.13,0.22
