Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Sporting KC,21,12,3,6,38,25,+13,39,33.1,25.9,+7.3,+0.35,1926,Johnny Russell Gadi Kinda... - 6,Tim Melia,
2,Seattle,22,11,6,5,44,23,+21,39,41.8,20.9,+20.9,+0.95,6101,Raúl Ruidíaz - 12,Stefan Frei,
3,Portland,23,11,6,6,46,35,+11,39,31.5,35.3,-3.8,-0.16,4228,Diego Valeri Jeremy Ebobisse - 8,Steve Clark,
4,Minnesota,21,9,7,5,36,26,+10,34,29.8,36.3,-6.5,-0.31,,Kevin Molino - 9,Dayne St. Clair,
5,FC Dallas,22,9,7,6,28,24,+4,34,31.8,30.6,+1.3,+0.06,3758,Franco Jara - 7,Jimmy Maurer,
6,Los Angeles FC,22,9,5,8,47,39,+8,32,41.7,29.1,+12.5,+0.57,3160,Diego Rossi - 14,Pablo Sisniega,
7,San Jose,23,8,6,9,35,51,-16,30,32.2,37.0,-4.8,-0.21,2748,Chris Wondolowski - 7,Mario Daniel Vega,
8,Colorado,18,8,4,6,32,28,+4,28,25.8,22.8,+3.0,+0.17,1866,Cole Bassett Jonathan Lewis - 5,William Yarbrough,
9,Vancouver,23,9,0,14,27,44,-17,27,23.8,38.0,-14.1,-0.61,2011,Lucas Cavallini - 6,Thomas Hasal,
10,LA Galaxy,22,6,4,12,27,46,-19,22,26.6,35.5,-8.9,-0.40,2199,Cristian Pavón - 10,David Bingham,
11,Real Salt Lake,22,5,7,10,25,35,-10,22,26.3,28.7,-2.4,-0.11,3348,Damir Kreilach - 8,Andrew Putna,
12,Houston,23,4,9,10,30,40,-10,21,36.1,37.7,-1.6,-0.07,3042,Darwin Quintero - 7,Marko Marić,